"","0","1","MeanDecreaseAccuracy","MeanDecreaseGini"
"EDUSCHGRD2_T",15.5312468742814,-1.16535876028915,14.4906257516937,97.447496418706
"NEWRACE2",14.7910016520178,3.76803433673928,15.3534728454055,67.5991184504249
"HEALTH2",-1.41805385156795,7.52687447826478,1.93100203543068,60.978298425499
"INCOME",13.6255575972566,-3.95031004770408,12.4283882505975,44.503574447596
"FRDMJMON",17.3870858557957,6.36879323218989,19.5217274838678,41.4309921272177
"YFLMJMO",27.2526701899281,-4.61642626674693,27.8165285894654,33.5215142154988
"YOSELL2",28.1247430125662,23.5175055587164,35.2454087986174,32.225201533979
"EDUSKPCOM_T",9.34850891843574,-0.553574297880801,8.55184651395362,30.9227181231042
"POVERTY3",15.054365061114,-3.59372530591556,14.6891231193127,29.7648517713286
"COUTYP4",10.74989363577,-0.411417179245767,10.5091315685865,27.6535985423446
"STNDSMJ",16.8478766902653,11.6470694270266,20.7472865010066,22.767033126626
"YOSTOLE2",21.5490375821484,11.5681890090124,25.746212466588,22.4908036200949
"PDEN10",11.7200899892554,1.08020781682169,11.8815012948604,19.4909187338992
"STNDALC",3.32099510676394,7.61205731070038,7.3064725481845,16.8277945925607
"PRTALK3",3.78564412892435,-0.874493592871725,3.25303082141927,15.786356097803
"PARLMTSN",4.89117271547229,-0.487992574611272,4.38952933373525,15.698237032224
"ARGUPAR",3.25579057403613,3.88871666843212,4.60697362864677,15.6943999815609
"ANYEDUC3",2.90944754613276,2.29559674694376,3.69080635419605,15.6061186908639
"IFATHER",-2.00527264728651,2.63854189371143,-0.879412785067335,15.2539106015825
"TCHGJOB",0.755581856583313,1.54664080786954,1.31283723598818,15.1726698839178
"YOFIGHT2",8.7216706388245,2.85553411809853,9.20617321559205,15.0594162731499
"YFLTMRJ2",27.5400777664028,1.80381694253841,29.9748005526059,14.5937133580952
"PARCHKHW",1.81312641577962,2.245629683811,2.6349756749241,14.5382096383729
"DRPRVME3",1.50818973146234,1.92934268684863,2.25866617249489,14.4474275432316
"PRLMTTV2",3.81737470538915,1.77027098767871,4.51333353737226,14.0939248894512
"IRSEX",5.09952201337279,-1.00704871075345,4.4481522805347,13.856312545295
"YOGRPFT2",9.31675801926761,2.9774864603557,10.213178534301,13.7570746169083
"PRBSOLV2",3.40415863310076,-1.95044318799293,2.45880980274698,13.6059946921884
"RLGDCSN",5.45376271850703,0.532264383556925,5.41880836447506,13.2275389114514
"SCHFELT",2.85888850625529,-0.116116109914417,2.59736036281807,13.192796884682
"YOHGUN2",6.15053057340166,7.20234034688247,8.82167309046972,13.0609522986563
"PARHLPHW",2.79047322478414,0.78423600267519,2.90314777464251,12.9076728262189
"RLGIMPT",10.6131142949961,-4.19983544649013,9.0551090713724,12.7061651232551
"PRALDLY2",19.5658284293381,1.81375779555839,19.1131854166628,12.6539130376268
"PRMJEVR2",1.713587406074,8.20944776394679,5.97970096610121,12.5562803286655
"PRMJMO",2.25604703094913,9.41632347976533,6.88919446157671,12.3739201650458
"AVGGRADE",1.31245377261402,6.87391413413328,4.21470127129413,12.1477609895978
"STNDSCIG",4.00050091871376,-1.54878609745217,3.19424150209987,12.1254021194461
"RLGATTD",4.78641270011771,2.79507049641238,5.64723402887249,11.8634999892921
"PRCHORE2",0.997219437876823,1.36372649919727,1.48785027301972,11.8223511189475
"YTHACT2",5.65811839097564,-4.13992856469678,3.7813053761644,11.5429995376718
"RLGFRND",5.7381009291313,-0.473763194908242,5.16359330345757,11.4804471679357
"IMOTHER",3.27077787205695,2.75547895433142,4.14521671762336,11.2343811430861
"GOVTPROG",4.4884346680545,-0.387214601083138,4.17190035796255,11.1513894371958
"YFLADLY2",17.1882364925944,-3.94262682234336,16.5844362433302,10.9240612522672
"STNDDNK",9.54551192750891,4.85997337552979,10.6158785359035,10.789913695465
"PRGDJOB2",1.61934918599061,-0.207528887211861,1.37907136052852,10.607923146073
"PREVIOL2",1.98377207623939,0.809116536615286,2.16492454055151,9.68791596442606
"YOATTAK2",6.04074684908774,3.3665814551854,7.01715291932518,9.5591255432059
"FRDADLY2",9.56808315168203,0.732281603101684,9.6845477276339,9.53256787688129
"PRPKCIG2",9.50007451431348,2.54679111983798,9.80285321318275,9.43441193284044
"FRDMEVR2",17.1939552421363,2.14910817234446,18.0204593087241,9.20235213156752
"PRVDRGO2",2.35622336748116,-2.67875324548543,1.24890315698844,8.97922910668674
"PRPROUD2",1.40704452365398,-1.44070344787846,0.816271665985229,8.7250210083945
"YFLPKCG2",17.7021612721546,-5.48943352692124,17.283145926519,8.03281933637374
"FRDPCIG2",15.6077437030745,-5.07087168459411,14.4469701632198,7.69762406358631
"TALKPROB",-2.8165318553678,4.91424724147734,-0.60350803064397,7.62582835849657
"PREGPGM2",-0.399067871004395,-1.14087606194641,-0.736080948037184,5.75228865376557
"GRPCNSL2",0.360011052621109,2.53196759419734,1.44621697058217,4.50938137306062
"EDUSCHLGO_T",1.58566497787859,-1.51841803533582,1.30101096397188,3.34127529164426
