"","0","1","MeanDecreaseAccuracy","MeanDecreaseGini"
"EDUSCHGRD2_T",14.0701030614052,-1.32789040874313,13.1775239741039,75.5791513870936
"NEWRACE2",9.2184343209065,0.872064564667425,8.91488110832683,52.6906457911878
"HEALTH2",-1.122267846944,4.66399004520261,0.79859698132442,42.0391602624402
"INCOME",7.97622339616051,-1.44756271868619,7.32241595670203,32.1004158265561
"FRDMJMON",9.37446693383424,11.4125153543452,13.0971631577132,21.649098387227
"YFLMJMO",14.0415274741328,7.05235608131469,16.4051185463414,21.739413256127
"YOSELL2",15.9273165619297,21.3291467966625,22.3268817215881,21.2700092120832
"EDUSKPCOM_T",1.90946087615029,0.393446714351507,1.97211640651569,30.8321608585532
"POVERTY3",9.43789895902753,-3.12449350071222,8.53015350354135,24.0565328719628
"COUTYP4",5.76402897704678,1.7551892911828,6.35230348655003,29.9118962392133
"STNDSMJ",7.67129987284156,13.0632725614923,12.5769677994033,23.9815274888134
"YOSTOLE2",15.7755531804771,15.9892539399318,21.1177497634396,22.0023032905719
"PDEN10",6.01242550993765,-0.268110430549555,5.94195272703606,21.9483979508067
"STNDALC",2.59304887405353,9.51373165670166,6.82762871680385,19.0703344835031
"PRTALK3",2.64932365421636,0.739289094572718,2.7647315912381,17.0684299914423
"PARLMTSN",2.10931101854317,1.94491469786979,2.6870131694958,18.0745563637852
"ARGUPAR",1.24763799029302,3.63256748507292,2.61295929345528,15.3729578181905
"ANYEDUC3",1.83166984372362,0.91146553725222,2.04795208322342,17.4000750222971
"IFATHER",0.702183929623844,0.414581736259363,0.759610619040403,17.8610677173634
"TCHGJOB",1.89103213141827,1.1771692067386,2.26498676823536,16.522242677208
"YOFIGHT2",4.63756826045586,3.18448736219825,5.61261292510772,15.4738657490475
"YFLTMRJ2",18.0498535466286,4.97822218709496,19.4724283135347,20.8882857083965
"PARCHKHW",2.77608574851659,0.692246895198384,2.92542893903284,15.5615380991751
"DRPRVME3",1.33781532233146,0.573884118556574,1.48843350942633,16.2665874207981
"PRLMTTV2",2.2334461361255,-0.74518805641499,1.80727624156945,14.059035762951
"IRSEX",0.290423046828814,-0.894646002303885,-0.0519164623268254,16.9022975294101
"YOGRPFT2",5.23654944487956,2.76831092255381,6.05812394300717,14.8758563908329
"PRBSOLV2",3.27356511979726,-1.71932358289759,2.45631542395747,14.0483833515068
"RLGDCSN",3.46339244379174,-1.32602725312252,2.73323291316926,15.3713899931169
"SCHFELT",1.32245635033425,0.232735405117191,1.36656238104962,15.0575980043847
"YOHGUN2",4.24515549956065,7.15557573092748,7.2845555589879,12.9981631699735
"PARHLPHW",3.26831652672832,-0.842961374448554,2.63906439357497,14.9236015940396
"RLGIMPT",6.87064996811108,-1.58928132204442,6.04052182595551,16.3836704731508
"PRALDLY2",13.9765305646187,1.60788481883052,13.4922022682004,12.8439138514911
"PRMJEVR2",-0.810507368106709,11.0851984129796,4.62894149652869,18.5657819922378
"PRMJMO",0.844422734275422,12.484310201509,6.90964234969402,16.7341781814955
"AVGGRADE",3.46052365970151,3.97917874882669,4.80514308578736,11.0794861179972
"STNDSCIG",0.898053000386116,1.2237887973279,1.33856514018284,12.5993461232349
"RLGATTD",1.22378542069765,1.92807000810808,1.8734561103196,11.5821921264552
"PRCHORE2",-0.691151632095502,-0.402306510943708,-0.833144693669675,11.8256557771876
"YTHACT2",1.54125912567985,-1.47288543319983,0.850203003491442,13.3205896754022
"RLGFRND",4.79976295571995,-2.27461630932301,3.89590179195147,12.0273915740267
"IMOTHER",-1.88667014253407,3.47844464380306,-0.261936442994132,11.9543943029644
"GOVTPROG",1.88889791256957,1.49989056665658,2.44776843277267,14.4893026126845
"YFLADLY2",14.6276929865624,-3.03452983995741,13.9352764997684,12.3042101436536
"STNDDNK",6.49066531498995,3.01969765575624,7.24940918766639,13.5756646084961
"PRGDJOB2",0.947809447561972,1.42512443629853,1.55693568998399,12.5854551095038
"PREVIOL2",3.6145662929448,1.50496718000678,3.82632375533361,8.89510130558394
"YOATTAK2",0.72104980924942,3.19103106949372,2.25265904945899,10.3906976931096
"FRDADLY2",9.07962736365554,1.8558967870915,9.78579631758528,12.8331065785691
"PRPKCIG2",7.44481107023344,-1.43645123652562,6.88741355249975,8.87125334570338
"FRDMEVR2",7.47436680522375,7.90118019014383,9.90926046410541,18.2185736791416
"PRVDRGO2",1.13922238874927,-1.69824151163726,0.574715036709377,7.52795552970422
"PRPROUD2",-1.76427695052027,0.401863227263642,-1.45095117264285,12.9693506484229
"YFLPKCG2",14.9365141074067,-5.55260994443066,13.7874544955053,9.62066773233104
"FRDPCIG2",12.7014924104693,-4.60987667206334,11.2984783739841,8.90643280400166
"TALKPROB",-1.9191175627245,-0.98229405569025,-2.16679435932879,7.86650176372801
"PREGPGM2",-1.54057159038559,-2.55684257113906,-2.35440563718801,4.90460582727011
"GRPCNSL2",0.0234818560129606,-1.07035753284468,-0.400996451500828,4.01838132172669
"EDUSCHLGO_T",4.84879246508272,-2.00993330494535,4.1380349936752,8.03568877778075
